,image_id,p_180
0,test_00000,1
1,test_00001,1
2,test_00002,1
3,test_00003,0
4,test_00004,0
5,test_00005,0
6,test_00006,0
7,test_00007,0
8,test_00008,1
9,test_00009,1
10,test_00010,0
11,test_00011,1
12,test_00012,1
13,test_00013,1
14,test_00014,1
15,test_00015,1
16,test_00016,0
17,test_00017,1
18,test_00018,0
19,test_00019,1
20,test_00020,0
21,test_00021,1
22,test_00022,1
23,test_00023,1
24,test_00024,1
25,test_00025,0
26,test_00026,1
27,test_00027,0
28,test_00028,1
29,test_00029,0
30,test_00030,1
31,test_00031,1
32,test_00032,0
33,test_00033,1
34,test_00034,0
35,test_00035,0
36,test_00036,0
37,test_00037,1
38,test_00038,1
39,test_00039,0
40,test_00040,0
41,test_00041,1
42,test_00042,0
43,test_00043,1
44,test_00044,1
45,test_00045,0
46,test_00046,1
47,test_00047,1
48,test_00048,1
49,test_00049,0
50,test_00050,1
51,test_00051,1
52,test_00052,1
53,test_00053,1
54,test_00054,0
55,test_00055,0
56,test_00056,0
57,test_00057,0
58,test_00058,1
59,test_00059,1
60,test_00060,1
61,test_00061,0
62,test_00062,1
63,test_00063,0
64,test_00064,1
65,test_00065,0
66,test_00066,1
67,test_00067,0
68,test_00068,0
69,test_00069,1
70,test_00070,1
71,test_00071,1
72,test_00072,1
73,test_00073,0
74,test_00074,0
75,test_00075,1
76,test_00076,0
77,test_00077,0
78,test_00078,0
79,test_00079,1
80,test_00080,0
81,test_00081,1
82,test_00082,0
83,test_00083,0
84,test_00084,0
85,test_00085,0
86,test_00086,1
87,test_00087,1
88,test_00088,1
89,test_00089,1
90,test_00090,0
91,test_00091,1
92,test_00092,0
93,test_00093,1
94,test_00094,1
95,test_00095,0
96,test_00096,1
97,test_00097,0
98,test_00098,1
99,test_00099,1
100,test_00100,0
101,test_00101,0
102,test_00102,1
103,test_00103,1
104,test_00104,0
105,test_00105,0
106,test_00106,1
107,test_00107,1
108,test_00108,0
109,test_00109,0
110,test_00110,1
111,test_00111,1
112,test_00112,0
113,test_00113,0
114,test_00114,0
115,test_00115,0
116,test_00116,1
117,test_00117,0
118,test_00118,0
119,test_00119,1
120,test_00120,1
121,test_00121,1
122,test_00122,0
123,test_00123,0
124,test_00124,0
125,test_00125,0
126,test_00126,1
127,test_00127,1
128,test_00128,1
129,test_00129,1
