image_id,p_180
test_00000,0
test_00001,1
test_00002,1
test_00003,0
test_00004,1
test_00005,0
test_00006,1
test_00007,1
test_00008,1
test_00009,0
test_00010,1
test_00011,0
test_00012,0
test_00013,1
test_00014,1
test_00015,1
test_00016,1
test_00017,0
test_00018,0
test_00019,0
test_00020,0
test_00021,0
test_00022,1
test_00023,0
test_00024,1
test_00025,1
test_00026,1
test_00027,1
test_00028,1
test_00029,1
test_00030,0
test_00031,1
test_00032,1
test_00033,1
test_00034,1
test_00035,1
test_00036,0
test_00037,0
test_00038,0
test_00039,0
test_00040,0
test_00041,0
test_00042,1
test_00043,0
test_00044,0
test_00045,1
test_00046,0
test_00047,1
test_00048,1
test_00049,1
test_00050,1
test_00051,0
test_00052,0
test_00053,1
test_00054,0
test_00055,1
test_00056,0
test_00057,1
test_00058,0
test_00059,1
test_00060,0
test_00061,0
test_00062,0
test_00063,0
test_00064,0
test_00065,1
test_00066,1
test_00067,0
test_00068,0
test_00069,0
test_00070,1
test_00071,1
test_00072,1
test_00073,1
test_00074,0
test_00075,1
test_00076,0
test_00077,1
test_00078,1
test_00079,1
test_00080,0
test_00081,1
test_00082,1
test_00083,0
test_00084,1
test_00085,1
test_00086,1
test_00087,1
test_00088,1
test_00089,0
test_00090,0
test_00091,0
test_00092,1
test_00093,1
test_00094,0
test_00095,1
test_00096,0
test_00097,0
test_00098,0
test_00099,0
test_00100,0
test_00101,1
test_00102,0
test_00103,1
test_00104,0
test_00105,0
test_00106,1
test_00107,1
test_00108,1
test_00109,0
test_00110,1
test_00111,0
test_00112,1
test_00113,0
test_00114,1
test_00115,1
test_00116,0
test_00117,1
test_00118,1
test_00119,1
test_00120,0
test_00121,1
test_00122,1
test_00123,1
test_00124,0
test_00125,0
test_00126,0
test_00127,1
test_00128,0
test_00129,0
test_00130,1
test_00131,0
test_00132,0
test_00133,1
test_00134,0
test_00135,1
test_00136,0
test_00137,1
test_00138,1
test_00139,0
test_00140,1
test_00141,0
test_00142,1
test_00143,1
test_00144,0
test_00145,1
test_00146,0
test_00147,1
test_00148,0
test_00149,0
test_00150,0
test_00151,1
test_00152,0
test_00153,0
test_00154,0
test_00155,1
test_00156,1
test_00157,0
test_00158,1
test_00159,1
test_00160,1
test_00161,0
test_00162,1
test_00163,0
test_00164,0
test_00165,1
test_00166,1
test_00167,1
test_00168,0
test_00169,0
test_00170,1
test_00171,1
test_00172,1
test_00173,0
test_00174,0
test_00175,1
test_00176,1
test_00177,0
test_00178,0
test_00179,1
test_00180,0
test_00181,0
test_00182,1
test_00183,1
test_00184,1
test_00185,1
test_00186,0
test_00187,1
test_00188,1
test_00189,1
test_00190,0
test_00191,0
test_00192,0
test_00193,0
test_00194,0
test_00195,0
test_00196,1
test_00197,0
test_00198,0
test_00199,1
test_00200,1
test_00201,1
test_00202,1
test_00203,0
test_00204,1
test_00205,0
test_00206,0
test_00207,0
test_00208,0
test_00209,0
test_00210,0
test_00211,1
test_00212,1
test_00213,1
test_00214,1
test_00215,0
test_00216,0
test_00217,0
test_00218,0
test_00219,1
test_00220,1
test_00221,1
test_00222,0
test_00223,1
test_00224,1
test_00225,1
test_00226,0
test_00227,0
test_00228,0
test_00229,0
test_00230,0
test_00231,1
test_00232,1
test_00233,1
test_00234,0
test_00235,1
test_00236,0
test_00237,0
test_00238,1
test_00239,0
test_00240,0
test_00241,0
test_00242,1
test_00243,1
test_00244,1
test_00245,0
test_00246,0
test_00247,0
test_00248,1
test_00249,1
test_00250,0
test_00251,1
test_00252,0
test_00253,1
test_00254,0
test_00255,0
test_00256,0
test_00257,0
test_00258,0
test_00259,0
test_00260,0
test_00261,1
test_00262,1
test_00263,1
test_00264,1
test_00265,1
test_00266,1
test_00267,1
test_00268,0
test_00269,1
test_00270,1
test_00271,0
test_00272,1
test_00273,0
test_00274,1
test_00275,0
test_00276,0
test_00277,1
test_00278,0
test_00279,1
test_00280,1
test_00281,1
test_00282,1
test_00283,0
test_00284,0
test_00285,0
test_00286,0
test_00287,1
test_00288,1
test_00289,1
test_00290,1
test_00291,1
test_00292,1
test_00293,0
test_00294,1
test_00295,1
test_00296,0
test_00297,1
test_00298,0
test_00299,1
test_00300,0
test_00301,1
test_00302,1
test_00303,1
test_00304,0
test_00305,1
test_00306,1
test_00307,1
test_00308,1
test_00309,0
test_00310,0
test_00311,1
test_00312,0
test_00313,1
test_00314,0
test_00315,0
test_00316,1
test_00317,0
test_00318,1
test_00319,0
test_00320,1
test_00321,0
test_00322,0
test_00323,1
test_00324,1
test_00325,1
test_00326,0
test_00327,1
test_00328,1
test_00329,0
test_00330,1
test_00331,1
test_00332,1
test_00333,1
test_00334,1
test_00335,0
test_00336,0
test_00337,1
test_00338,0
test_00339,1
test_00340,0
test_00341,0
test_00342,1
test_00343,1
test_00344,1
test_00345,1
test_00346,0
test_00347,0
test_00348,1
test_00349,0
test_00350,1
test_00351,0
test_00352,1
test_00353,1
test_00354,0
test_00355,1
test_00356,0
test_00357,0
test_00358,1
test_00359,1
test_00360,1
test_00361,1
test_00362,0
test_00363,1
test_00364,1
test_00365,1
test_00366,1
test_00367,0
test_00368,0
test_00369,1
test_00370,0
test_00371,0
test_00372,1
test_00373,0
test_00374,1
test_00375,1
test_00376,0
test_00377,0
test_00378,1
test_00379,0
test_00380,0
test_00381,1
test_00382,1
test_00383,0
test_00384,1
test_00385,0
test_00386,1
test_00387,1
test_00388,0
test_00389,1
test_00390,0
test_00391,0
test_00392,1
test_00393,0
test_00394,0
test_00395,0
test_00396,0
test_00397,1
test_00398,0
test_00399,1
test_00400,1
test_00401,0
test_00402,1
test_00403,0
test_00404,0
test_00405,1
test_00406,1
test_00407,0
test_00408,1
test_00409,1
test_00410,0
test_00411,0
test_00412,1
test_00413,1
test_00414,0
test_00415,0
test_00416,0
test_00417,0
test_00418,1
test_00419,1
test_00420,0
test_00421,1
test_00422,1
test_00423,0
test_00424,0
test_00425,0
test_00426,0
test_00427,0
test_00428,0
test_00429,1
test_00430,1
test_00431,1
test_00432,1
test_00433,0
test_00434,0
test_00435,1
test_00436,1
test_00437,0
test_00438,1
test_00439,0
test_00440,0
test_00441,0
test_00442,1
test_00443,1
test_00444,1
test_00445,0
test_00446,0
test_00447,0
test_00448,1
test_00449,0
test_00450,0
test_00451,1
test_00452,1
test_00453,0
test_00454,1
test_00455,1
test_00456,0
test_00457,0
test_00458,1
test_00459,1
test_00460,1
test_00461,1
test_00462,0
test_00463,1
test_00464,0
test_00465,0
test_00466,1
test_00467,1
test_00468,1
test_00469,0
test_00470,1
test_00471,0
test_00472,0
test_00473,0
test_00474,0
test_00475,0
test_00476,0
test_00477,1
test_00478,1
test_00479,0
test_00480,1
test_00481,0
test_00482,0
test_00483,1
test_00484,0
test_00485,0
test_00486,0
test_00487,0
test_00488,1
test_00489,1
test_00490,1
test_00491,0
test_00492,1
test_00493,1
test_00494,0
test_00495,1
test_00496,0
test_00497,1
test_00498,0
test_00499,0
test_00500,1
test_00501,0
test_00502,1
test_00503,0
test_00504,1
test_00505,1
test_00506,1
test_00507,0
test_00508,1
test_00509,1
test_00510,1
test_00511,1
test_00512,1
test_00513,1
test_00514,0
test_00515,0
test_00516,0
test_00517,0
test_00518,0
test_00519,1
test_00520,0
test_00521,1
test_00522,0
test_00523,1
test_00524,1
test_00525,0
test_00526,1
test_00527,0
test_00528,1
test_00529,1
test_00530,0
test_00531,1
test_00532,0
test_00533,0
test_00534,1
test_00535,0
test_00536,0
test_00537,0
test_00538,1
test_00539,0
test_00540,1
test_00541,0
test_00542,0
test_00543,1
test_00544,1
test_00545,0
test_00546,0
test_00547,1
test_00548,0
test_00549,1
test_00550,0
test_00551,0
test_00552,1
test_00553,0
test_00554,1
test_00555,0
test_00556,1
test_00557,1
test_00558,0
test_00559,0
test_00560,1
test_00561,0
test_00562,0
test_00563,0
test_00564,1
test_00565,1
test_00566,0
test_00567,1
test_00568,0
test_00569,1
test_00570,0
test_00571,0
test_00572,0
test_00573,0
test_00574,0
test_00575,0
test_00576,1
test_00577,0
test_00578,0
test_00579,1
test_00580,1
test_00581,0
test_00582,0
test_00583,1
test_00584,0
test_00585,0
test_00586,1
test_00587,1
test_00588,0
test_00589,0
test_00590,0
test_00591,0
test_00592,0
test_00593,1
test_00594,1
test_00595,0
test_00596,0
test_00597,0
test_00598,1
test_00599,0
test_00600,1
test_00601,1
test_00602,1
test_00603,1
test_00604,1
test_00605,1
test_00606,1
test_00607,0
test_00608,0
test_00609,0
test_00610,1
test_00611,1
test_00612,1
test_00613,1
test_00614,0
test_00615,1
test_00616,0
test_00617,1
test_00618,0
test_00619,1
test_00620,1
test_00621,0
test_00622,1
test_00623,0
test_00624,0
test_00625,0
test_00626,1
test_00627,0
test_00628,0
test_00629,0
test_00630,1
test_00631,1
test_00632,1
test_00633,1
test_00634,1
test_00635,0
test_00636,1
test_00637,1
test_00638,0
test_00639,1
test_00640,0
test_00641,1
test_00642,1
test_00643,0
test_00644,1
test_00645,1
test_00646,0
test_00647,0
test_00648,0
test_00649,0
test_00650,0
test_00651,1
test_00652,0
test_00653,1
test_00654,1
test_00655,1
test_00656,0
test_00657,1
test_00658,1
test_00659,0
test_00660,0
test_00661,0
test_00662,0
test_00663,1
test_00664,0
test_00665,0
test_00666,1
test_00667,1
test_00668,0
test_00669,0
test_00670,1
test_00671,1
test_00672,1
test_00673,0
test_00674,1
test_00675,1
test_00676,1
test_00677,1
test_00678,1
test_00679,1
test_00680,0
test_00681,1
test_00682,1
test_00683,1
test_00684,1
test_00685,1
test_00686,1
test_00687,0
test_00688,0
test_00689,1
test_00690,1
test_00691,1
test_00692,1
test_00693,1
test_00694,0
test_00695,0
test_00696,0
test_00697,1
test_00698,0
test_00699,0
test_00700,1
test_00701,1
test_00702,1
test_00703,0
test_00704,0
test_00705,1
test_00706,1
test_00707,1
test_00708,0
test_00709,1
test_00710,1
test_00711,0
test_00712,0
test_00713,1
test_00714,0
test_00715,1
test_00716,0
test_00717,1
test_00718,0
test_00719,0
test_00720,1
test_00721,0
test_00722,0
test_00723,1
test_00724,1
test_00725,1
test_00726,0
test_00727,0
test_00728,1
test_00729,1
test_00730,1
test_00731,0
test_00732,0
test_00733,0
test_00734,1
test_00735,0
test_00736,1
test_00737,1
test_00738,0
test_00739,1
test_00740,0
test_00741,1
test_00742,1
test_00743,1
test_00744,0
test_00745,1
test_00746,0
test_00747,0
test_00748,1
test_00749,0
test_00750,0
test_00751,1
test_00752,0
test_00753,0
test_00754,0
test_00755,1
test_00756,1
test_00757,0
test_00758,0
test_00759,0
test_00760,1
test_00761,1
test_00762,0
test_00763,1
test_00764,0
test_00765,1
test_00766,0
test_00767,1
test_00768,0
test_00769,0
test_00770,1
test_00771,1
test_00772,0
test_00773,1
test_00774,1
test_00775,1
test_00776,1
test_00777,0
test_00778,0
test_00779,0
test_00780,0
test_00781,0
test_00782,1
test_00783,1
test_00784,0
test_00785,1
test_00786,1
test_00787,0
test_00788,1
test_00789,0
test_00790,1
test_00791,1
test_00792,1
test_00793,0
test_00794,1
test_00795,0
test_00796,0
test_00797,0
test_00798,1
test_00799,1
test_00800,0
test_00801,0
test_00802,0
test_00803,0
test_00804,0
test_00805,1
test_00806,1
test_00807,1
test_00808,0
test_00809,0
test_00810,1
test_00811,1
test_00812,1
test_00813,0
test_00814,1
test_00815,1
test_00816,0
test_00817,0
test_00818,0
test_00819,1
test_00820,0
test_00821,0
test_00822,1
test_00823,0
test_00824,0
test_00825,1
test_00826,1
test_00827,1
test_00828,0
test_00829,1
test_00830,1
test_00831,1
test_00832,0
test_00833,0
test_00834,0
test_00835,0
test_00836,0
test_00837,1
test_00838,0
test_00839,0
test_00840,0
test_00841,0
test_00842,1
test_00843,1
test_00844,0
test_00845,0
test_00846,1
test_00847,1
test_00848,0
test_00849,0
test_00850,0
test_00851,1
test_00852,1
test_00853,1
test_00854,1
test_00855,0
test_00856,1
test_00857,1
test_00858,1
test_00859,1
test_00860,0
test_00861,1
test_00862,0
test_00863,1
test_00864,1
test_00865,0
test_00866,1
test_00867,0
test_00868,1
test_00869,0
test_00870,1
test_00871,0
test_00872,0
test_00873,1
test_00874,0
test_00875,0
test_00876,0
test_00877,0
test_00878,0
test_00879,1
test_00880,1
test_00881,1
test_00882,1
test_00883,1
test_00884,1
test_00885,0
test_00886,1
test_00887,0
test_00888,0
test_00889,1
test_00890,1
test_00891,1
test_00892,0
test_00893,0
test_00894,1
test_00895,1
test_00896,0
test_00897,1
test_00898,1
test_00899,0
test_00900,0
test_00901,1
test_00902,0
test_00903,1
test_00904,1
test_00905,0
test_00906,0
test_00907,0
test_00908,0
test_00909,1
test_00910,0
test_00911,1
test_00912,1
test_00913,0
test_00914,0
test_00915,1
test_00916,0
test_00917,0
test_00918,0
test_00919,0
test_00920,0
test_00921,0
test_00922,0
test_00923,0
test_00924,1
test_00925,1
test_00926,1
test_00927,0
test_00928,1
test_00929,1
test_00930,0
test_00931,1
test_00932,0
test_00933,1
test_00934,1
test_00935,0
test_00936,1
test_00937,1
test_00938,0
test_00939,1
test_00940,1
test_00941,1
test_00942,1
test_00943,0
test_00944,0
test_00945,1
test_00946,1
test_00947,0
test_00948,0
test_00949,0
test_00950,0
test_00951,0
test_00952,1
test_00953,1
test_00954,1
test_00955,1
test_00956,0
test_00957,0
test_00958,0
test_00959,1
test_00960,0
test_00961,1
test_00962,0
test_00963,1
test_00964,1
test_00965,1
test_00966,1
test_00967,0
test_00968,0
test_00969,1
test_00970,1
test_00971,1
test_00972,0
